pair,threshold_bps,cost_bps,regime_policy,oos_kind,execution_model,pair_scope,fold_count,insufficient_train_fold_count,total_signal_count,realized_event_count,censored_event_count,censor_rate,event_count,mean_net_bps,median_net_bps,win_rate,mae_bps,mfe_bps,holding_minutes,mean_mae_bps,median_mae_bps,mean_mfe_bps,median_mfe_bps,mean_holding_minutes,median_holding_minutes,capital_occupancy_rate,same_pair_blocked_overlap_signal_count,cross_pair_overlapping_event_count,naive_event_bootstrap_ci_low,naive_event_bootstrap_ci_high,block_bootstrap_ci_low,block_bootstrap_ci_high,bootstrap_mean_ci_low_bps,bootstrap_mean_ci_high_bps,bootstrap_method_primary,bootstrap_confidence_level,bootstrap_samples
binance/gate,100,80,GATE_CAUSAL_ALLOWED_NORMAL_TRANSIENT,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,GATE_PAIRS,19,19,36,28,8,0.2222222222222222,28,-47.732165340328095,-65.17488208405246,0.10714285714285714,-5.765012949851544,30.922088577403084,347.14285714285717,-5.765012949851544,-4.295876069241311,30.922088577403084,18.506802648676768,347.14285714285717,45.0,0.1760674053061718,1550,0,-61.16084557274361,-31.62073796741095,-60.77434393480825,-23.92332254020636,-60.77434393480825,-23.92332254020636,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/gate,150,20,GATE_CAUSAL_ALLOWED_NORMAL_TRANSIENT,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,GATE_PAIRS,19,9,90,84,6,0.06666666666666667,84,-4.399075290120019,-7.071279517991118,0.27380952380952384,-2.7429843391177777,17.61806842856859,129.28571428571428,-2.7429843391177777,-2.569613074775434,17.61806842856859,13.66766775180106,129.28571428571428,37.5,0.1966845563243079,833,0,-7.97413519502131,-0.5232006897773509,-7.821272337677742,0.4273580159945833,-7.821272337677742,0.4273580159945833,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/gate,150,40,GATE_CAUSAL_ALLOWED_NORMAL_TRANSIENT,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,GATE_PAIRS,19,9,90,84,6,0.06666666666666667,84,-24.39907529012002,-27.07127951799112,0.08333333333333333,-2.7429843391177777,17.61806842856859,129.28571428571428,-2.7429843391177777,-2.569613074775434,17.61806842856859,13.66766775180106,129.28571428571428,37.5,0.1966845563243079,833,0,-27.714881123606585,-20.999955774923475,-27.832947247395417,-19.221991339339926,-27.832947247395417,-19.221991339339926,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/gate,150,80,GATE_CAUSAL_ALLOWED_NORMAL_TRANSIENT,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,GATE_PAIRS,19,9,90,84,6,0.06666666666666667,84,-64.39907529012001,-67.07127951799112,0.011904761904761904,-2.7429843391177777,17.61806842856859,129.28571428571428,-2.7429843391177777,-2.569613074775434,17.61806842856859,13.66766775180106,129.28571428571428,37.5,0.1966845563243079,833,0,-67.82868226443135,-60.80523518440703,-67.67057490256231,-59.390614593406795,-67.67057490256231,-59.390614593406795,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/gate,200,20,GATE_CAUSAL_ALLOWED_NORMAL_TRANSIENT,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,GATE_PAIRS,19,11,50,49,1,0.02,49,-5.56188523597173,-9.288135563403337,0.22448979591836735,1.6518548441157404,15.441758870322596,84.18367346938776,1.6518548441157404,0.49154228077274986,15.441758870322596,9.746486143306088,84.18367346938776,30.0,0.07491024714716656,200,0,-9.911593882640553,-0.7747765465066627,-10.953118428003746,2.854176333431454,-10.953118428003746,2.854176333431454,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/gate,200,40,GATE_CAUSAL_ALLOWED_NORMAL_TRANSIENT,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,GATE_PAIRS,19,11,50,49,1,0.02,49,-25.561885235971733,-29.288135563403337,0.08163265306122448,1.6518548441157404,15.441758870322596,84.18367346938776,1.6518548441157404,0.49154228077274986,15.441758870322596,9.746486143306088,84.18367346938776,30.0,0.07491024714716656,200,0,-29.86798476477218,-20.652252343941445,-31.093630562869933,-17.276279031217666,-31.093630562869933,-17.276279031217666,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/gate,200,80,GATE_CAUSAL_ALLOWED_NORMAL_TRANSIENT,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,GATE_PAIRS,19,11,50,49,1,0.02,49,-65.56188523597173,-69.28813556340333,0.0,1.6518548441157404,15.441758870322596,84.18367346938776,1.6518548441157404,0.49154228077274986,15.441758870322596,9.746486143306088,84.18367346938776,30.0,0.07491024714716656,200,0,-69.95215014258189,-60.84121851976149,-71.32594767168862,-57.11887019811664,-71.32594767168862,-57.11887019811664,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/hyperliquid,100,20,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,16,15,1,0.0625,15,-4.143640080773519,-9.008097428030903,0.2,-11.755237351285327,24.46917419588978,92.0,-11.755237351285327,-9.76114106806536,24.46917419588978,18.445264867057443,92.0,30.0,0.024973362309143404,91,0,-11.918513613730482,5.686238165042749,-13.789010924127636,11.94511773604435,-13.789010924127636,11.94511773604435,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/hyperliquid,100,40,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,16,15,1,0.0625,15,-24.143640080773523,-29.0080974280309,0.06666666666666667,-11.755237351285327,24.46917419588978,92.0,-11.755237351285327,-9.76114106806536,24.46917419588978,18.445264867057443,92.0,30.0,0.024973362309143404,91,0,-31.717205691225164,-14.63706604485655,-33.78901092412764,-8.05488226395565,-33.78901092412764,-8.05488226395565,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/hyperliquid,100,80,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,16,15,1,0.0625,15,-64.14364008077352,-69.00809742803091,0.0,-11.755237351285327,24.46917419588978,92.0,-11.755237351285327,-9.76114106806536,24.46917419588978,18.445264867057443,92.0,30.0,0.024973362309143404,91,0,-71.75376933354447,-54.286675136529254,-73.78901092412764,-48.05488226395565,-73.78901092412764,-48.05488226395565,DAY_BLOCK_BOOTSTRAP,0.95,2000
