fold_id,pair,cost_bps,threshold_bps,train_start,train_end,test_start,test_end,regime_lookback_bars,regime_persistence_ratio,regime_structural_abs_bps,regime_transient_abs_bps,execution_model,selected_on,frozen_during_test
1,bitget/okx,40,200,2026-06-10 06:00:00+00:00,2026-06-17 07:45:00+00:00,2026-06-17 07:45:00+00:00,2026-06-19 08:00:00+00:00,8,0.8,48.093927012079334,48.093927012079334,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
1,bitget/okx,80,200,2026-06-10 06:00:00+00:00,2026-06-17 07:45:00+00:00,2026-06-17 07:45:00+00:00,2026-06-19 08:00:00+00:00,8,0.8,48.093927012079334,48.093927012079334,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
1,gate/hyperliquid,20,100,2026-06-10 06:00:00+00:00,2026-06-17 07:45:00+00:00,2026-06-17 07:45:00+00:00,2026-06-19 08:00:00+00:00,32,0.8,57.53875559197263,57.53875559197263,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
1,gate/hyperliquid,40,100,2026-06-10 06:00:00+00:00,2026-06-17 07:45:00+00:00,2026-06-17 07:45:00+00:00,2026-06-19 08:00:00+00:00,32,0.8,57.53875559197263,57.53875559197263,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
1,gate/hyperliquid,80,100,2026-06-10 06:00:00+00:00,2026-06-17 07:45:00+00:00,2026-06-17 07:45:00+00:00,2026-06-19 08:00:00+00:00,32,0.8,57.53875559197263,57.53875559197263,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
1,gate/okx,20,200,2026-06-10 06:00:00+00:00,2026-06-17 07:45:00+00:00,2026-06-17 07:45:00+00:00,2026-06-19 08:00:00+00:00,8,0.8,25.76544561489169,25.76544561489169,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
1,gate/okx,40,200,2026-06-10 06:00:00+00:00,2026-06-17 07:45:00+00:00,2026-06-17 07:45:00+00:00,2026-06-19 08:00:00+00:00,8,0.8,25.76544561489169,25.76544561489169,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
1,gate/okx,80,200,2026-06-10 06:00:00+00:00,2026-06-17 07:45:00+00:00,2026-06-17 07:45:00+00:00,2026-06-19 08:00:00+00:00,8,0.8,25.76544561489169,25.76544561489169,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
1,hyperliquid/okx,20,200,2026-06-10 06:00:00+00:00,2026-06-17 07:45:00+00:00,2026-06-17 07:45:00+00:00,2026-06-19 08:00:00+00:00,8,0.8,39.48183055946513,39.48183055946513,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
1,hyperliquid/okx,40,200,2026-06-10 06:00:00+00:00,2026-06-17 07:45:00+00:00,2026-06-17 07:45:00+00:00,2026-06-19 08:00:00+00:00,8,0.8,39.48183055946513,39.48183055946513,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
