time,event_number,pair,event_net_return,compounded_equity_usd,non_compounded_equity_usd,threshold_bps,confirmation_policy,max_holding_minutes
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,20,ONE_BAR_CONFIRM,
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,20,ONE_BAR_CONFIRM,240
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,20,ONE_BAR_CONFIRM,1440
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,20,TWO_BAR_CONFIRM,
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,20,TWO_BAR_CONFIRM,240
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,20,TWO_BAR_CONFIRM,1440
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,50,ONE_BAR_CONFIRM,
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,50,ONE_BAR_CONFIRM,240
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,50,ONE_BAR_CONFIRM,1440
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,50,TWO_BAR_CONFIRM,
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,50,TWO_BAR_CONFIRM,240
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,50,TWO_BAR_CONFIRM,1440
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,100,ONE_BAR_CONFIRM,
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,100,ONE_BAR_CONFIRM,240
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,100,ONE_BAR_CONFIRM,1440
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,100,TWO_BAR_CONFIRM,
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,100,TWO_BAR_CONFIRM,240
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,100,TWO_BAR_CONFIRM,1440
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,150,ONE_BAR_CONFIRM,
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,150,ONE_BAR_CONFIRM,240
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,150,ONE_BAR_CONFIRM,1440
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,150,TWO_BAR_CONFIRM,
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,150,TWO_BAR_CONFIRM,240
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,150,TWO_BAR_CONFIRM,1440
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,200,ONE_BAR_CONFIRM,
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,200,ONE_BAR_CONFIRM,240
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,200,ONE_BAR_CONFIRM,1440
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,200,TWO_BAR_CONFIRM,
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,200,TWO_BAR_CONFIRM,240
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,200,TWO_BAR_CONFIRM,1440
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,250,ONE_BAR_CONFIRM,
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,250,ONE_BAR_CONFIRM,240
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,250,ONE_BAR_CONFIRM,1440
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,250,TWO_BAR_CONFIRM,
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,250,TWO_BAR_CONFIRM,240
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,250,TWO_BAR_CONFIRM,1440
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,300,ONE_BAR_CONFIRM,
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,300,ONE_BAR_CONFIRM,240
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,300,ONE_BAR_CONFIRM,1440
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,300,TWO_BAR_CONFIRM,
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,300,TWO_BAR_CONFIRM,240
2026-07-16 18:34:00+00:00,0,START,0.0,1000.0,1000.0,300,TWO_BAR_CONFIRM,1440
