exit_center_policy,data_scope,signal_count,entered_count,realized_count,max_hold_count,unresolved_count,realized_rate,unresolved_rate,entry_decay_rate,mean_net_account_price_pnl_bps,median_net_account_price_pnl_bps,win_rate,median_holding_minutes,mean_net_funding_account_bps,mean_net_combined_account_pnl_bps
FROZEN_ENTRY_MEAN,PAIR_NATIVE_WINDOW,268,233,170,0,63,0.7296137339055794,0.2703862660944206,0.13059701492537312,-17.328937037206014,-17.53517783129292,0.0,5.0,-0.1586538364181559,-17.48759087362417
FROZEN_ENTRY_MEAN,COMMON_FOUR_WINDOW,328,276,167,0,109,0.605072463768116,0.39492753623188404,0.15548780487804878,-17.287172899991962,-17.535464803227747,0.0,5.0,-0.11907675038370658,-17.406249650375667
DYNAMIC_CAUSAL_MEAN,PAIR_NATIVE_WINDOW,269,234,171,0,63,0.7307692307692307,0.2692307692307692,0.13011152416356878,-17.336412649544055,-17.540711718535533,0.0,5.0,-0.15772603620518422,-17.49413868574924
DYNAMIC_CAUSAL_MEAN,COMMON_FOUR_WINDOW,329,277,168,0,109,0.6064981949458483,0.3935018050541516,0.15501519756838905,-17.29503060146231,-17.543126638927248,0.0,4.5,-0.11836796020285119,-17.41339856166516
FROZEN_ENTRY_MEDIAN,PAIR_NATIVE_WINDOW,252,217,154,0,63,0.7096774193548387,0.2903225806451613,0.1388888888888889,-17.040520763724544,-17.258277946012015,0.0,6.0,-0.24458152624796756,-17.285102289972507
FROZEN_ENTRY_MEDIAN,COMMON_FOUR_WINDOW,320,265,156,0,109,0.5886792452830188,0.41132075471698115,0.16875,-17.055228522069836,-17.26984150092118,0.0,6.0,-0.1799119971164423,-17.235140519186277
DYNAMIC_CAUSAL_MEDIAN,PAIR_NATIVE_WINDOW,270,228,165,0,63,0.7236842105263158,0.27631578947368424,0.15555555555555556,-17.053287154114592,-17.280406230637517,0.0,7.0,-0.3162254934980151,-17.36951264761261
DYNAMIC_CAUSAL_MEDIAN,COMMON_FOUR_WINDOW,322,267,158,0,109,0.5917602996254682,0.40823970037453183,0.16770186335403728,-17.057203039956516,-17.26984150092118,0.0,6.0,-0.1832675414567405,-17.24047058141326
