exchange,first_valid_minute,last_valid_minute,valid_minutes,missing_minutes,latest_data_lag_minutes
binance,2026-07-16 18:34:00+00:00,2026-07-26 04:44:00+00:00,9532,4039,21.220756416666667
bitget,2026-07-16 18:34:00+00:00,2026-07-26 04:43:00+00:00,9438,4132,22.220756416666667
gate,2026-07-16 18:34:00+00:00,2026-07-26 04:44:00+00:00,9532,4039,21.220756416666667
okx,2026-07-16 18:34:00+00:00,2026-07-26 04:44:00+00:00,9394,4177,21.220756416666667
