gate_group,signal_count,entered_count,realized_count,max_hold_count,unresolved_count,realized_rate,unresolved_rate,entry_decay_rate,mean_net_account_price_pnl_bps,median_net_account_price_pnl_bps,win_rate,median_holding_minutes,mean_net_funding_account_bps,mean_net_combined_account_pnl_bps
GATE_RELATED,38,31,0,0,31,0.0,1.0,0.18421052631578946,,,,,,
NON_GATE,230,202,170,0,32,0.8415841584158416,0.15841584158415842,0.12173913043478261,-17.328937037206014,-17.53517783129292,0.0,5.0,-0.1586538364181559,-17.48759087362417
