stock_session,signal_count,entered_count,realized_count,max_hold_count,unresolved_count,realized_rate,unresolved_rate,entry_decay_rate,mean_net_account_price_pnl_bps,median_net_account_price_pnl_bps,win_rate,median_holding_minutes,mean_net_funding_account_bps,mean_net_combined_account_pnl_bps
KOREA_CASH_CLOSED,175,154,117,0,37,0.7597402597402597,0.24025974025974026,0.12,-17.425120086693436,-17.54554155931896,0.0,4.0,-0.22752950590672222,-17.65264959260016
KOREA_CASH_OPEN,93,79,53,0,26,0.6708860759493671,0.3291139240506329,0.15053763440860216,-17.11660841852624,-17.350985966261263,0.0,6.0,-0.0066075471698113265,-17.123215965696055
