pair,history_model,strategy_side_policy,entry_execution_policy,exit_center_policy,max_holding_minutes,data_scope,signal_count,entered_count,realized_count,max_hold_count,right_censored_count,data_gap_count,no_next_entry_count,no_next_exit_count,entry_decayed_count,invalid_price_count,realized_rate,max_hold_rate,data_gap_rate,unresolved_rate,entry_decay_rate,positive_event_count,win_rate,sum_net_account_price_pnl_bps,mean_net_account_price_pnl_bps,median_net_account_price_pnl_bps,p05_net_account_price_pnl_bps,p25_net_account_price_pnl_bps,p75_net_account_price_pnl_bps,p95_net_account_price_pnl_bps,mean_gross_account_price_pnl_bps,mean_net_funding_account_bps,mean_net_combined_account_pnl_bps,median_holding_minutes,p90_holding_minutes,max_holding_minutes_observed,mean_mae_account_price_pnl_bps,median_mae_account_price_pnl_bps,mean_mfe_account_price_pnl_bps,median_mfe_account_price_pnl_bps,profit_factor,day_block_bootstrap_ci_low,day_block_bootstrap_ci_high,profitable_days,total_active_days,quality_flags
binance/gate,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,PAIR_NATIVE_WINDOW,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,0,0,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,10080.0,PAIR_NATIVE_WINDOW,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,0,0,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,1440.0,PAIR_NATIVE_WINDOW,6,5,0,4,0,1,0,0,1,0,0.0,0.8,0.2,0.2,0.16666666666666666,0,0.0,-99.9044723248193,-24.976118081204824,-24.990491539044463,-29.30868080155489,-26.501670047717734,-23.46493957253155,-20.62343251987926,-4.976118081204822,-1.9518749999999996,-26.927993081204825,1440.0,1440.0,1440.0,-10.237877205097613,-9.533990012452476,7.116464911394171,6.572170578263425,0.0,-28.670050328628136,-21.267812375941865,0,4,REALIZED_LT_10
binance/gate,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,4320.0,PAIR_NATIVE_WINDOW,2,2,0,1,0,1,0,0,0,0,0.0,0.5,0.5,0.5,0.0,0,0.0,-31.44016770401768,-31.44016770401768,-31.44016770401768,-31.44016770401768,-31.44016770401768,-31.44016770401768,-31.44016770401768,-11.440167704017679,-16.159550000000003,-47.59971770401768,4320.0,4320.0,4320.0,-21.867589739843485,-21.867589739843485,5.1512700356648455,5.1512700356648455,0.0,-31.44016770401768,-31.44016770401768,0,1,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEDIAN,,PAIR_NATIVE_WINDOW,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,0,0,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,ROLLING_24H,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,PAIR_NATIVE_WINDOW,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,0,0,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,ROLLING_72H,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,PAIR_NATIVE_WINDOW,2,1,0,0,0,1,0,0,1,0,0.0,0.0,1.0,1.0,0.5,0,,,,,,,,,,,,,,,,,,,,,,0,0,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,ROLLING_7D,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,PAIR_NATIVE_WINDOW,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,ZERO_EVENTS
binance/gate,EXPANDING_PAST,TWO_SIDED_P75_P25,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,COMMON_FOUR_WINDOW,53,37,0,0,0,37,1,0,15,0,0.0,0.0,1.0,1.0,0.2830188679245283,0,,,,,,,,,,,,,,,,,,,,,,0,0,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,EXPANDING_PAST,UPPER_P75_ONLY,LOCKED_SIGNAL_ENTRY,FROZEN_ENTRY_MEAN,,COMMON_FOUR_WINDOW,40,39,0,0,0,39,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,0,0,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,DYNAMIC_CAUSAL_MEAN,,COMMON_FOUR_WINDOW,53,37,0,0,0,37,1,0,15,0,0.0,0.0,1.0,1.0,0.2830188679245283,0,,,,,,,,,,,,,,,,,,,,,,0,0,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,DYNAMIC_CAUSAL_MEDIAN,,COMMON_FOUR_WINDOW,62,43,6,0,0,37,1,0,18,0,0.13953488372093023,0.0,0.8604651162790697,0.8604651162790697,0.2903225806451613,0,0.0,-106.26179713220984,-17.710299522034973,-17.333687583463693,-19.70514473455377,-17.999519897869533,-17.012337371548732,-16.427329420950468,2.289700477965025,-0.14833333333333332,-17.85863285536831,36.0,59.5,64.0,-1.544377763818457,-0.6623997424892725,5.491988921768609,4.832518905179272,0.0,-18.22962369849452,-16.67165116911588,0,2,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,COMMON_FOUR_WINDOW,53,37,0,0,0,37,1,0,15,0,0.0,0.0,1.0,1.0,0.2830188679245283,0,,,,,,,,,,,,,,,,,,,,,,0,0,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,10080.0,COMMON_FOUR_WINDOW,53,37,0,0,0,37,1,0,15,0,0.0,0.0,1.0,1.0,0.2830188679245283,0,,,,,,,,,,,,,,,,,,,,,,0,0,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,1440.0,COMMON_FOUR_WINDOW,53,37,0,0,0,37,1,0,15,0,0.0,0.0,1.0,1.0,0.2830188679245283,0,,,,,,,,,,,,,,,,,,,,,,0,0,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,4320.0,COMMON_FOUR_WINDOW,53,37,0,0,0,37,1,0,15,0,0.0,0.0,1.0,1.0,0.2830188679245283,0,,,,,,,,,,,,,,,,,,,,,,0,0,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEDIAN,,COMMON_FOUR_WINDOW,61,42,5,0,0,37,1,0,18,0,0.11904761904761904,0.0,0.8809523809523809,0.8809523809523809,0.29508196721311475,0,0.0,-90.0196065418656,-18.00392130837312,-17.566263419039867,-19.809225135247615,-18.143938724146086,-17.101111747887515,-17.006419079792813,1.9960786916268791,0.0,-18.00392130837312,18.0,60.4,64.0,-1.6646745844149933,-0.38190582414276975,5.822952565559868,5.46309759706709,0.0,-18.22962369849452,-17.101111747887515,0,2,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,ROLLING_24H,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,COMMON_FOUR_WINDOW,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,ZERO_EVENTS
binance/gate,ROLLING_72H,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,COMMON_FOUR_WINDOW,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,ZERO_EVENTS
binance/gate,ROLLING_7D,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,COMMON_FOUR_WINDOW,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,ZERO_EVENTS
binance/okx,EXPANDING_PAST,TWO_SIDED_P75_P25,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,PAIR_NATIVE_WINDOW,55,37,36,0,0,1,0,0,18,0,0.972972972972973,0.0,0.02702702702702703,0.02702702702702703,0.32727272727272727,0,0.0,-600.0920909275159,-16.66922474798655,-16.8963843146319,-18.00109105645901,-17.33364107527722,-16.094810527765553,-15.068976904752933,3.3307752520134497,-1.0239835711701806,-17.69320831915673,33.5,163.0,3003.0,-1.7181055639036344,-0.6742385058802758,3.6383299129437905,3.597712960741739,0.0,-17.235232749639756,-16.407681774368847,0,6,
binance/okx,EXPANDING_PAST,UPPER_P75_ONLY,LOCKED_SIGNAL_ENTRY,FROZEN_ENTRY_MEAN,,PAIR_NATIVE_WINDOW,26,26,25,0,0,1,0,0,0,0,0.9615384615384616,0.0,0.038461538461538464,0.038461538461538464,0.0,0,0.0,-426.55185658529007,-17.062074263411603,-17.280406230637517,-18.370082464691833,-17.463943758940765,-16.565067650701188,-15.323373488720243,2.9379257365883977,-0.6865020876434599,-17.748576351055064,25.0,117.6,182.0,-1.0727643678891452,-0.5527158307105928,3.264760574769387,3.0552462080096765,0.0,-17.552846317754625,-16.704827927573696,0,6,REALIZED_LT_30
binance/okx,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,DYNAMIC_CAUSAL_MEAN,,PAIR_NATIVE_WINDOW,31,22,21,0,0,1,0,0,9,0,0.9545454545454546,0.0,0.045454545454545456,0.045454545454545456,0.2903225806451613,0,0.0,-352.21891047782526,-16.77232907037263,-16.9046594387978,-17.992669945985345,-17.33317182164072,-16.116871479915346,-15.250547263957452,3.22767092962737,-0.817264390051738,-17.589593460424368,30.0,118.0,170.0,-1.0908433653041203,-0.6137851551923923,3.521833704297193,3.220831644838995,0.0,-17.22428416509939,-16.531256531715982,0,6,REALIZED_LT_30
