pair,data_scope,history_model,history_window_minutes,strategy_side_policy,entry_execution_policy,exit_center_policy,max_holding_minutes,signal_time,signal_close_spread_bps,historical_p25_at_signal,historical_p75_at_signal,historical_mean_at_signal,historical_median_at_signal,historical_iqr_at_signal,observation_count_at_signal,tail_excess_bps,tail_score,entry_exec_time,entry_open_spread_bps,frozen_entry_mean_bps,frozen_entry_median_bps,entry_direction,long_exchange,short_exchange,entry_long_price,entry_short_price,exit_target_at_entry_bps,exit_signal_time,exit_signal_spread_bps,exit_target_at_signal_bps,exit_exec_time,exit_open_spread_bps,exit_long_price,exit_short_price,holding_minutes,leg_sum_price_pnl_bps,gross_account_price_pnl_bps,assumed_cost_bps,net_account_price_pnl_bps,long_leg_funding_bps,short_leg_funding_bps,net_funding_account_bps,net_combined_account_pnl_bps,mae_account_price_pnl_bps,mfe_account_price_pnl_bps,max_abs_spread_during_hold_bps,close_reason,status
binance/okx,PAIR_NATIVE_WINDOW,EXPANDING_PAST,,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,2026-07-17 19:27:00+00:00,28.836498768440336,19.710934492865803,26.65202082774628,22.89647166591665,23.779809086922253,6.941086334880477,1493.0,2.1844779406940553,0.31471701046514516,2026-07-17 19:28:00+00:00,28.32229050087503,22.89647166591665,23.779809086922253,SHORT_A_LONG_B,okx,binance,1163.51,1166.81,22.89647166591665,2026-07-17 19:34:00+00:00,22.74227550520513,22.89647166591665,2026-07-17 19:35:00+00:00,23.25313981269739,1172.67,1175.4,7.0,5.107772548800238,2.553886274400119,20.0,-17.44611372559988,-0.0,0.0,0.0,-17.44611372559988,-0.11848709503436972,2.8112406204805485,28.55766730743743,CENTER_REVERSION,REALIZED
binance/okx,PAIR_NATIVE_WINDOW,EXPANDING_PAST,,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,2026-07-17 19:38:00+00:00,27.500918120713894,19.735900245553584,26.655067778464378,22.915825808314505,23.81761355029939,6.9191675329107944,1504.0,0.8458503422495163,0.12224741462412303,2026-07-17 19:39:00+00:00,27.5013878805998,22.915825808314505,23.81761355029939,SHORT_A_LONG_B,okx,binance,1169.24,1172.46,22.915825808314505,2026-07-17 20:16:00+00:00,22.17523593419565,22.915825808314505,2026-07-17 20:17:00+00:00,21.83199676817654,1162.16,1164.7,38.0,5.633473266137834,2.816736633068917,20.0,-17.183263366931083,-0.0,-9.4887,-4.74435,-21.927613366931084,-4.274845003680583,2.6462725628928485,36.107290233838086,CENTER_REVERSION,REALIZED
binance/bitget,PAIR_NATIVE_WINDOW,EXPANDING_PAST,,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,2026-07-18 01:36:00+00:00,-4.639573846550078,-15.61609335430672,-5.012415041150725,-11.538305264295529,-10.361575832453623,10.603678313155996,1844.0,0.3728411946006469,0.03516149618930465,2026-07-18 01:37:00+00:00,-4.38176327309117,-11.538305264295529,-10.361575832453623,SHORT_A_LONG_B,bitget,binance,1164.17,1163.66,-11.538305264295529,2026-07-18 01:37:00+00:00,-12.468667099487456,-11.538305264295529,2026-07-18 01:38:00+00:00,-12.554711886560751,1163.64,1162.18,1.0,8.165891949410975,4.0829459747054875,20.0,-15.917054025294512,-0.0,0.0,0.0,-15.917054025294512,4.039978097490349,4.039978097490349,12.468667099487456,CENTER_REVERSION,REALIZED
binance/gate,PAIR_NATIVE_WINDOW,EXPANDING_PAST,,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,2026-07-18 10:36:00+00:00,-33.20230179688018,-119.17344269560111,-34.81855336285484,-87.64398924713801,-91.13437206097228,84.35488933274627,2402.0,1.6162515659746646,0.0191601409089543,2026-07-18 10:37:00+00:00,-33.03282637120764,-87.64398924713801,-91.13437206097228,SHORT_A_LONG_B,gate,binance,1164.4,1160.56,-87.64398924713801,,,,,,,,7124.0,,,20.0,,,,,,-31.302778835942124,5.1512700356648455,43.017206882751886,DATA_GAP_DURING_HOLD,DATA_GAP_DURING_HOLD
