strategy_side_policy,data_scope,signal_count,entered_count,realized_count,max_hold_count,unresolved_count,realized_rate,unresolved_rate,entry_decay_rate,mean_net_account_price_pnl_bps,median_net_account_price_pnl_bps,win_rate,median_holding_minutes,mean_net_funding_account_bps,mean_net_combined_account_pnl_bps
UPPER_P75_ONLY,PAIR_NATIVE_WINDOW,268,233,170,0,63,0.7296137339055794,0.2703862660944206,0.13059701492537312,-17.328937037206014,-17.53517783129292,0.0,5.0,-0.1586538364181559,-17.48759087362417
UPPER_P75_ONLY,COMMON_FOUR_WINDOW,328,276,167,0,109,0.605072463768116,0.39492753623188404,0.15548780487804878,-17.287172899991962,-17.535464803227747,0.0,5.0,-0.11907675038370658,-17.406249650375667
TWO_SIDED_P75_P25,PAIR_NATIVE_WINDOW,586,515,381,0,134,0.7398058252427184,0.26019417475728157,0.12116040955631399,-17.461043463155196,-17.696442584809716,0.0,6.0,-0.12458517011337533,-17.585628633268573
TWO_SIDED_P75_P25,COMMON_FOUR_WINDOW,738,628,378,0,250,0.6019108280254777,0.3980891719745223,0.14498644986449866,-17.43709543933113,-17.69539825641068,0.0,6.0,-0.07673970519880556,-17.51383514452994
