analysis_scope,execution_model,pair,threshold_bps,cost_bps,event_count_total,realized_event_count,censored_event_count,positive_event_count,win_rate,sum_event_net_bps,mean_event_net_bps,median_event_net_bps,p05_event_net_bps,p95_event_net_bps,mean_holding_minutes,median_holding_minutes,max_holding_minutes,joint_start,joint_end
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/gate,100,40,28,28,0,5,0.17857142857142858,-565.6071207614457,-20.200254312908775,-25.299573643233728,-39.6801305522614,10.33901292578949,865.1785714285714,45.0,7725.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/gate,100,80,28,28,0,0,0.0,-1685.6071207614452,-60.20025431290876,-65.29957364323373,-79.6801305522614,-29.66098707421051,865.1785714285714,45.0,7725.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/gate,150,20,85,85,0,20,0.23529411764705882,-496.70865567812564,-5.843631243272067,-7.153753932194178,-27.626142730375427,20.69264781676973,174.88235294117646,45.0,5940.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/gate,150,40,85,85,0,5,0.058823529411764705,-2196.708655678126,-25.84363124327207,-27.153753932194178,-47.62614273037543,0.6926478167697283,174.88235294117646,45.0,5940.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/gate,150,80,85,85,0,0,0.0,-5596.708655678126,-65.84363124327207,-67.15375393219418,-87.62614273037543,-39.30735218323027,174.88235294117646,45.0,5940.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/gate,200,20,49,49,0,11,0.22448979591836735,-268.96688595008436,-5.489120121430293,-9.288135563403337,-20.30140318769726,22.504046940182928,85.71428571428571,30.0,705.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/gate,200,40,49,49,0,4,0.08163265306122448,-1248.9668859500844,-25.489120121430293,-29.288135563403337,-40.30140318769726,2.5040469401829277,85.71428571428571,30.0,705.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/gate,200,80,49,49,0,0,0.0,-3208.9668859500844,-65.48912012143029,-69.28813556340333,-80.30140318769725,-37.49595305981707,85.71428571428571,30.0,705.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/hyperliquid,20,20,194,193,1,21,0.10880829015544041,-2398.382268578387,-12.426851132530503,-13.603411096312339,-28.237805382040083,6.205685472398766,242.0984455958549,45.0,4905.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/hyperliquid,20,40,194,193,1,2,0.010362694300518135,-6258.382268578387,-32.4268511325305,-33.60341109631234,-48.23780538204009,-13.794314527601234,242.0984455958549,45.0,4905.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
