regime,count,all_available_gate_higher_ratio,all_four_gate_higher_ratio,only_one_pair_abs_gt_50bps_ratio,at_least_three_pairs_abs_gt_50bps_ratio,median_cross_pair_signed_std_bps
PRE_20260716,3432,0.6121794871794872,0.6121794871794872,0.19696969696969696,0.5480769230769231,27.493141336518043
GATE_REGIME_20260716_20260720,384,0.921875,0.921875,0.18229166666666666,0.4479166666666667,19.005105773360906
POST_20260720,397,0.1561712846347607,0.1561712846347607,0.007556675062972292,0.0,15.302396628825983
