change_time,pre_median_bps,post_median_bps,median_shift_bps,pre_p95_abs_bps,post_p95_abs_bps,confidence_metric,method,analysis_scope,uses_pre_and_post_windows,uses_full_sample,strategy_eligible
2026-07-17 08:00:00+00:00,168.21602478973068,41.907837109047186,-126.30818768068349,180.39143295117864,114.2578976656421,5.788984212382714,24h_symmetric_median_shift_robust_mad,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-23 15:00:00+00:00,1.1770937555183407,-10.347877128346894,-11.524970883865235,9.318306956316256,16.155519898725412,2.663636437373759,24h_symmetric_median_shift_robust_mad,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-23 07:00:00+00:00,4.899659065390219,75.96278584878327,71.06312678339305,50.54065861162558,174.93699213579742,2.656917991539865,24h_symmetric_median_shift_robust_mad,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-07 06:45:00+00:00,48.1432545421857,109.90150336962219,61.75824882743649,73.77456061292197,139.06174838622056,2.5523388943579732,24h_symmetric_median_shift_robust_mad,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-24 21:00:00+00:00,59.000432899191615,166.0300922808394,107.02965938164778,174.93699213579742,207.2116908916638,2.506660736946952,24h_symmetric_median_shift_robust_mad,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-13 10:15:00+00:00,207.12901489915993,145.08728715424394,-62.04172774491599,262.0693573478429,242.37635046100883,2.4288467807499754,24h_symmetric_median_shift_robust_mad,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-10 00:45:00+00:00,162.6284514129251,197.9732114347179,35.34476002179281,180.4039071278382,211.3465427258116,1.8011752127427887,24h_symmetric_median_shift_robust_mad,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-30 03:30:00+00:00,160.6850932869475,59.034209494143504,-101.650883792804,258.46873560223014,107.2796257072246,1.768572949288311,24h_symmetric_median_shift_robust_mad,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-22 19:00:00+00:00,4.038709476986981,49.997931527655695,45.959222050668714,20.59245115056051,97.96333878035631,1.6105959426260963,24h_symmetric_median_shift_robust_mad,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-02 13:15:00+00:00,128.77739443437312,54.073189910932,-74.70420452344112,167.85227661783,88.44672565892965,1.4959460487990455,24h_symmetric_median_shift_robust_mad,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-13 08:00:00+00:00,205.23023307050875,149.1430884079508,-56.08714466255793,258.1103855558974,260.70137494687077,97.83675852857193,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-12 08:00:00+00:00,202.53624040843425,205.23023307050875,2.6939926620744927,217.14377894483027,258.1103855558974,82.67486470253982,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-12 20:00:00+00:00,203.42240849996008,215.94076409808721,12.51835559812713,217.14377894483027,262.0693573478429,79.56338597076622,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-29 13:00:00+00:00,160.6850932869475,133.940468328178,-26.744624958769492,268.0941264978159,170.73895555593637,79.52408747466315,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-11 08:00:00+00:00,198.8396553803282,202.53624040843425,3.696585028106057,212.4747722496706,217.14377894483027,79.39900785730045,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-11 20:00:00+00:00,200.6823198876179,203.42240849996008,2.7400886123421913,211.25983005941822,217.14377894483027,76.24820223256839,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-10 20:00:00+00:00,190.6779661016946,200.6823198876179,10.004353785923286,210.4042729738377,211.25983005941822,74.3557581631544,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-10 08:00:00+00:00,171.9331005139895,198.8396553803282,26.906554866338695,200.31209331173312,212.4747722496706,67.78972120511314,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-15 08:00:00+00:00,164.04281553224598,165.44279571097843,1.3999801787324486,202.6657582003183,176.25877918128688,64.88155979556808,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-13 20:00:00+00:00,215.94076409808721,144.88641737123731,-71.0543467268499,262.0693573478429,173.08839805846733,62.86221557878705,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
