open_time,external_venue_count,external_scope,available_2_of_3_external_median,gate_premium_vs_external_median_bps
2026-06-10 23:45:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1309.76,24.706797419512338
2026-06-12 01:00:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1507.625,7.790679363816136
2026-06-13 02:15:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1472.75,-3.735207728484046
2026-06-14 03:30:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1508.855,10.234312769210105
2026-06-15 04:45:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1532.8400000000001,20.594100702544637
2026-06-16 06:00:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1573.62,12.574542267609239
2026-06-17 07:15:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1657.8,3.01559060341968
2026-06-18 08:30:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1769.53,20.154517971111495
2026-06-19 09:45:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1828.1750000000002,14.34828059770713
2026-06-20 11:00:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1884.125,8.355825535668343
2026-06-21 12:15:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1923.185,-2.002087891658397
2026-06-22 13:30:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1946.505,28.190293458645765
2026-06-23 14:45:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1712.755,59.05715212965203
2026-06-24 16:00:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1695.49,56.51960395107849
2026-06-25 17:15:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1896.385,168.4451050134833
2026-06-26 18:30:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1757.21,146.25837850357664
2026-06-27 19:45:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1764.71,119.35977198284269
2026-06-28 21:00:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1808.6100000000001,154.66024397804267
2026-06-29 22:15:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1730.37,157.27444476616716
2026-06-30 23:30:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1737.225,71.55301590943388
2026-07-02 00:45:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1518.51,103.44567791641121
2026-07-03 02:00:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1463.12,92.38660870393531
2026-07-04 03:15:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1620.17,47.5974963593766
2026-07-05 04:30:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1614.595,53.1534578316417
2026-07-06 05:45:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1557.375,50.11889226039436
2026-07-07 07:00:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1454.9299999999998,165.4323428068982
2026-07-08 08:15:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1354.28,131.45154191485045
2026-07-09 09:30:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1493.705,154.08863002619182
2026-07-10 10:45:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1483.9850000000001,214.0939340052017
2026-07-11 12:00:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1482.1950000000002,195.11657388524452
2026-07-12 13:15:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1481.225,212.90274101842652
2026-07-13 14:30:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1272.955,180.18298557251583
2026-07-14 15:45:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1331.455,189.29791638381212
2026-07-15 17:00:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1293.475,144.48676497395246
2026-07-16 18:15:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1210.29,180.21853851853967
2026-07-17 19:30:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1167.54,42.39243773610739
2026-07-18 20:45:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1149.93,24.059445069333602
2026-07-19 22:00:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1191.97,33.752517828950715
2026-07-20 23:15:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1216.225,13.762645714580655
2026-07-22 00:30:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1341.48,15.790963397737803
2026-07-23 01:45:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1277.985,7.15714629324503
2026-07-24 03:00:00+00:00,2,AVAILABLE_2_OF_3_SENSITIVITY,1224.24,14.365939663053343
