component_name,regime,count,median_bps,mean_bps,p95_abs_bps,p99_abs_bps,max_abs_bps,positive_ratio,median_abs_explanation_share
total_gate_trade_vs_market,PRE_20260716,3398,57.78013792257537,82.21242955064643,204.31070698033488,245.1055961662755,287.4118784334991,0.8731606827545615,
gate_trade_minus_gate_mark,PRE_20260716,3398,0.5596127497310455,1.2075183554900935,13.539243447647815,26.557311756722918,80.45764901273364,0.5256032960565038,0.00978999402382573
gate_mark_minus_gate_index,PRE_20260716,3398,7.5840000435880075,23.068973183506188,121.19522172449565,211.49367152063377,277.4976314904796,0.8922895821071218,0.1049891954183631
gate_index_minus_external_market,PRE_20260716,3398,38.05098154421146,57.93628968817043,190.22484924141358,196.24158419364582,208.77060420339683,0.731606827545615,0.7499464931316442
decomposition_residual,PRE_20260716,3398,-2.6623188400520803e-05,-0.00035167652028231293,0.001899832907255035,0.0053620456113169495,0.009368933129280776,0.246321365509123,
total_gate_trade_vs_market,GATE_REGIME_20260716_20260720,380,36.191095428571444,76.77701538153313,176.53786261978067,181.70149283536475,186.07555416796677,1.0,
gate_trade_minus_gate_mark,GATE_REGIME_20260716_20260720,380,0.8620692361963695,1.9296174968751167,7.687252024936446,12.887966941048745,20.907380305247752,0.6763157894736842,0.027777390288272648
gate_mark_minus_gate_index,GATE_REGIME_20260716_20260720,380,23.956894884199457,41.78429668404594,150.579044859283,159.854479031879,163.87913417852184,0.9947368421052631,0.7885870502170859
gate_index_minus_external_market,GATE_REGIME_20260716_20260720,380,3.8707010410871447,33.06332550287472,169.07241614088733,175.31639123654082,180.052633332222,0.7289473684210527,0.1659387220907909
decomposition_residual,GATE_REGIME_20260716_20260720,380,-9.278880715335447e-06,-0.00022430226264303938,0.0011228154604426169,0.0017412608213413703,0.0020429009501157225,0.22631578947368422,
total_gate_trade_vs_market,POST_20260720,393,4.85442503958577,4.571420202090031,16.144537760233376,25.699543152389804,29.99693401503071,0.7582697201017812,
gate_trade_minus_gate_mark,POST_20260720,393,0.7711586658948066,1.3333515655674755,8.080200763318867,13.588483363154424,17.97647426628594,0.5368956743002544,0.10924033613362243
gate_mark_minus_gate_index,POST_20260720,393,5.244463515219707,5.987194473393242,24.443537611862094,30.399283043646125,36.0343712464184,0.7811704834605598,0.43440418915706286
gate_index_minus_external_market,POST_20260720,393,-3.089953294166506,-2.749125959276238,21.646871359872804,33.45618084302994,45.560190244576994,0.34096692111959287,0.40510641935190306
decomposition_residual,POST_20260720,393,1.0763057334273185e-08,1.2240555145757414e-07,6.352168549739189e-06,2.023429679383066e-05,3.962850403382845e-05,0.5241730279898219,
