threshold_bps,assumed_total_cost_bps,trigger_type,baseline_window_hours,exit_policy,pair,pair_scope,total_signal_count,realized_event_count,censored_event_count,censor_rate,mean_net_bps,median_net_bps,win_rate,p05_net_bps,p25_net_bps,p75_net_bps,p95_net_bps,mean_mae_bps,median_mae_bps,mean_mfe_bps,median_mfe_bps,mean_holding_minutes,median_holding_minutes,p90_holding_minutes,max_holding_minutes,capital_occupancy_rate,same_pair_overlap_count,cross_pair_overlap_count,day_block_ci_low,day_block_ci_high,mean_gross_price_pnl_bps,mean_funding_pnl_bps,mean_gross_combined_pnl_bps,mean_cost_contribution_bps,realized_day_count
20,0,RESIDUAL_SPREAD,24,LEGACY_RAW_EXIT,binance/bitget,NON_GATE_PAIRS,54,0,54,1.0,,,,,,,,,,,,,,,,0.0,0,0,,,,,,,0.0
20,0,RESIDUAL_SPREAD,24,LEGACY_RAW_EXIT,binance/gate,GATE_PAIRS,166,2,164,0.9879518072289156,26.068816914158056,26.068816914158056,1.0,3.6595754566735454,13.619238326666661,38.51839550164945,48.47805837164256,-9.195063725098708,-9.195063725098708,26.25096733016308,26.25096733016308,232.5,232.5,406.5,450.0,0.0087595365922577,4,0,1.169659739175266,50.967974089140846,22.704266914158055,3.3645500000000004,26.068816914158056,-0.0,2.0
20,0,RESIDUAL_SPREAD,24,LEGACY_RAW_EXIT,binance/hyperliquid,NON_GATE_PAIRS,85,77,8,0.09411764705882353,9.317835144452864,2.8545553059916835,0.6363636363636364,-17.0994762708232,-2.978009066767484,16.4865097798665,39.71824427031921,-5.256263224393804,-3.146648242642325,17.48800572173483,9.560748639305672,205.9090909090909,30.0,762.0000000000006,1485.0,0.2986719412263351,93,0,3.9151612871369905,19.141824408985602,13.441716611985331,-4.123881467532468,9.317835144452864,-0.0,28.0
20,0,RESIDUAL_SPREAD,24,LEGACY_RAW_EXIT,binance/okx,NON_GATE_PAIRS,93,91,2,0.021505376344086023,6.901993015149711,4.806097817301458,0.7912087912087912,-7.8348268134503245,0.6612717228637877,12.106504790534434,25.79790331961241,1.852940675028495,2.952450253272953,10.838988600279684,7.789417669794574,50.76923076923077,15.0,75.0,915.0,0.08703023452952811,24,0,3.324734079672931,10.434853189367715,9.464597144308318,-2.562604129158604,6.901993015149711,-0.0,27.0
20,0,RESIDUAL_SPREAD,24,LEGACY_RAW_EXIT,bitget/gate,GATE_PAIRS,69,2,67,0.9710144927536232,-6.163981148836206,-6.163981148836206,0.0,-9.541099548281695,-8.040158037417033,-4.287804260255379,-2.786862749390718,-5.497856843028059,-5.497856843028059,-1.5122774623604898,-1.5122774623604898,22.5,22.5,28.5,30.0,0.0008476970895733258,0,0,-9.91633492599786,-2.411627371674552,-6.163981148836206,0.0,-6.163981148836206,-0.0,2.0
20,0,RESIDUAL_SPREAD,24,LEGACY_RAW_EXIT,bitget/hyperliquid,NON_GATE_PAIRS,68,3,65,0.9558823529411765,-2.7191469177445526,-7.82689612700338,0.3333333333333333,-9.865182609316015,-8.959277506065956,0.9671090659474348,8.002313220308086,-2.511530385893208,-5.228481160134413,-1.2665821477061037,-1.4936364455730988,20.0,15.0,27.0,30.0,0.0011302627860977678,0,0,-10.09165888512853,9.761114258898251,-2.7191469177445526,0.0,-2.7191469177445526,-0.0,3.0
20,0,RESIDUAL_SPREAD,24,LEGACY_RAW_EXIT,bitget/okx,NON_GATE_PAIRS,60,3,57,0.95,-2.010559962376904,-0.7149270912987227,0.3333333333333333,-8.636737311876084,-5.115932769397257,1.7426292801825394,3.7086743773675486,-2.0976808774945486,-0.976289836651656,-2.0976808774945486,-0.976289836651656,15.0,15.0,15.0,15.0,0.0008476970895733258,0,0,-9.516938447495791,4.200185651663801,-2.010559962376904,0.0,-2.010559962376904,-0.0,3.0
20,0,RESIDUAL_SPREAD,24,LEGACY_RAW_EXIT,gate/hyperliquid,GATE_PAIRS,251,2,249,0.9920318725099602,22.93571335099778,22.93571335099778,1.0,14.381441806579522,18.183340270765413,27.688086431230143,31.489984895416033,-13.239494306474532,-13.239494306474532,18.354538051794655,18.354538051794655,510.0,510.0,906.0,1005.0,0.01921446736366205,10,0,13.43096719053305,32.44045951146251,21.757411850997777,1.1783015000000008,22.93571335099778,-0.0,2.0
20,0,RESIDUAL_SPREAD,24,LEGACY_RAW_EXIT,gate/okx,GATE_PAIRS,217,4,213,0.9815668202764977,13.13165470028435,9.886576560008134,0.75,-0.7373900530946997,0.6749845460651827,22.3432467142273,31.543808850050098,-0.7848653855302423,-1.0359907563523008,10.490566569910376,5.379299936851822,120.0,15.0,309.00000000000006,435.0,0.009042102288782142,1,0,0.08649512974856499,26.176814270820138,13.3806353168231,-0.2489806165387502,13.13165470028435,-0.0,4.0
20,0,RESIDUAL_SPREAD,24,LEGACY_RAW_EXIT,hyperliquid/okx,NON_GATE_PAIRS,113,108,5,0.04424778761061947,13.104369244394247,8.39282720050516,0.7870370370370371,-6.042930303159782,0.6980439257196552,20.5330627522817,49.54010902868102,0.26139415107655145,0.7694238930311403,18.317009453128218,16.461650475022573,119.16666666666667,22.5,358.4999999999999,930.0,0.24244136761797117,89,0,9.706127817907019,17.611749999144365,13.572425109247346,-0.46805586485310163,13.104369244394247,-0.0,33.0
20,0,RESIDUAL_SPREAD,24,LEGACY_RAW_EXIT,ALL_GATE_PAIRS,GATE_PAIRS,703,10,693,0.9857752489331437,13.820771703377668,7.347220576457425,0.7,-6.539216526552371,-0.5254478423696862,28.957764423005496,43.26216297183006,-5.900429129132357,-4.628952474531878,12.8148722118836,-0.5374276742714512,201.0,15.0,505.4999999999998,1005.0,0.009465950833568805,15,0,3.8849940132188867,23.662653490707964,13.011793649993166,0.8089780533845001,13.820771703377668,-0.0,7.0
