threshold_bps,assumed_total_cost_bps,trigger_type,baseline_window_hours,exit_policy,pair,pair_scope,total_signal_count,realized_event_count,censored_event_count,censor_rate,mean_net_bps,median_net_bps,win_rate,p05_net_bps,p25_net_bps,p75_net_bps,p95_net_bps,mean_mae_bps,median_mae_bps,mean_mfe_bps,median_mfe_bps,mean_holding_minutes,median_holding_minutes,p90_holding_minutes,max_holding_minutes,capital_occupancy_rate,same_pair_overlap_count,cross_pair_overlap_count,day_block_ci_low,day_block_ci_high,mean_gross_price_pnl_bps,mean_funding_pnl_bps,mean_gross_combined_pnl_bps,mean_cost_contribution_bps,realized_day_count
20,0,RAW_SPREAD,24,LEGACY_RAW_EXIT,ALL_PAIRS,ALL,1087,683,404,0.3716651333946642,8.901238825019,6.287365382839916,0.9150805270863837,-2.754026729952696,2.541975248243622,12.496425898498487,27.67815314465618,-0.543933827868524,1.0360824859567686,11.394987606325248,7.598260750127928,97.59882869692532,30.0,300.0,1170.0,0.125572195535462,248,511,7.669939680048005,10.29826934471302,10.598575113841196,-1.6973362888221961,8.901238825019,-0.0,38.0
20,0,RAW_SPREAD,24,BASELINE_RESIDUAL_EXIT,ALL_PAIRS,ALL,918,546,372,0.40522875816993464,3.760913515411302,2.2262077835794036,0.6043956043956044,-14.629801254392625,-3.1489326785585914,8.367559641724368,28.42526148129382,-0.3776504274319639,-0.004808262158984,8.636261418868846,4.383083079145256,158.26923076923077,15.0,517.5,1455.0,0.162786097767731,329,418,2.083799487952462,5.542010136356417,3.9689042671959935,-0.20799075178469226,3.760913515411302,-0.0,38.0
20,0,RAW_SPREAD,24,FRACTIONAL_RESIDUAL_EXIT,ALL_PAIRS,ALL,700,266,434,0.62,7.278699766533601,5.747703857234553,0.7593984962406015,-12.48392434943965,0.17331908706324747,13.3404069982988,30.51450965061266,-4.503666371451765,-2.9890159341933176,17.1089171832834,12.24333787250953,176.72932330827066,90.0,465.0,1410.0,0.0885560892907601,264,190,5.345986806467969,9.232657878852779,7.3589954328877205,-0.0802956663541203,7.278699766533601,-0.0,38.0
20,20,RAW_SPREAD,24,LEGACY_RAW_EXIT,ALL_PAIRS,ALL,1087,683,404,0.3716651333946642,-11.098761174981,-13.712634617160084,0.1054172767203514,-22.7540267299527,-17.458024751756376,-7.503574101501512,7.6781531446561795,-0.543933827868524,1.0360824859567686,11.394987606325248,7.598260750127928,97.59882869692532,30.0,300.0,1170.0,0.125572195535462,248,511,-12.254548670291035,-9.74949808338631,10.598575113841196,-1.6973362888221961,8.901238825019,-20.0,38.0
20,20,RAW_SPREAD,24,BASELINE_RESIDUAL_EXIT,ALL_PAIRS,ALL,918,546,372,0.40522875816993464,-16.239086484588697,-17.773792216420595,0.08974358974358974,-34.629801254392625,-23.148932678558594,-11.632440358275634,8.42526148129382,-0.3776504274319639,-0.004808262158984,8.636261418868846,4.383083079145256,158.26923076923077,15.0,517.5,1455.0,0.162786097767731,329,418,-18.060871745100098,-14.366271137755003,3.9689042671959935,-0.20799075178469226,3.760913515411302,-20.0,38.0
20,20,RAW_SPREAD,24,FRACTIONAL_RESIDUAL_EXIT,ALL_PAIRS,ALL,700,266,434,0.62,-12.7213002334664,-14.252296142765445,0.13157894736842105,-32.48392434943965,-19.82668091293675,-6.659593001701202,10.51450965061266,-4.503666371451765,-2.9890159341933176,17.1089171832834,12.24333787250953,176.72932330827066,90.0,465.0,1410.0,0.0885560892907601,264,190,-14.503620758589445,-10.72307954437042,7.3589954328877205,-0.0802956663541203,7.278699766533601,-20.0,38.0
20,40,RAW_SPREAD,24,LEGACY_RAW_EXIT,ALL_PAIRS,ALL,1087,683,404,0.3716651333946642,-31.098761174981004,-33.712634617160084,0.02342606149341142,-42.7540267299527,-37.45802475175638,-27.503574101501513,-12.32184685534382,-0.543933827868524,1.0360824859567686,11.394987606325248,7.598260750127928,97.59882869692532,30.0,300.0,1170.0,0.125572195535462,248,511,-32.32354913923909,-29.652248852826354,10.598575113841196,-1.6973362888221961,8.901238825019,-40.0,38.0
20,40,RAW_SPREAD,24,BASELINE_RESIDUAL_EXIT,ALL_PAIRS,ALL,918,546,372,0.40522875816993464,-36.2390864845887,-37.773792216420595,0.027472527472527472,-54.629801254392625,-43.148932678558594,-31.63244035827563,-11.57473851870618,-0.3776504274319639,-0.004808262158984,8.636261418868846,4.383083079145256,158.26923076923077,15.0,517.5,1455.0,0.162786097767731,329,418,-37.96741014145609,-34.47160542504245,3.9689042671959935,-0.20799075178469226,3.760913515411302,-40.0,38.0
20,40,RAW_SPREAD,24,FRACTIONAL_RESIDUAL_EXIT,ALL_PAIRS,ALL,700,266,434,0.62,-32.7213002334664,-34.252296142765445,0.02631578947368421,-52.48392434943965,-39.82668091293675,-26.6595930017012,-9.48549034938734,-4.503666371451765,-2.9890159341933176,17.1089171832834,12.24333787250953,176.72932330827066,90.0,465.0,1410.0,0.0885560892907601,264,190,-34.6771092178061,-30.888387278746073,7.3589954328877205,-0.0802956663541203,7.278699766533601,-40.0,38.0
20,58,RAW_SPREAD,24,LEGACY_RAW_EXIT,ALL_PAIRS,ALL,1087,683,404,0.3716651333946642,-49.098761174981,-51.71263461716008,0.007320644216691069,-60.7540267299527,-55.45802475175638,-45.50357410150151,-30.32184685534382,-0.543933827868524,1.0360824859567686,11.394987606325248,7.598260750127928,97.59882869692532,30.0,300.0,1170.0,0.125572195535462,248,511,-50.28106443140143,-47.7435846788001,10.598575113841196,-1.6973362888221961,8.901238825019,-58.0,38.0
