group_type,group_value,threshold_bps,target_bps,horizon_minutes,event_count_total,hit_count,naive_hit_rate,eligible_event_count,completed_event_count,censored_event_count,observed_rate_complete_cases,rate_note
PAIR,binance/hyperliquid,20,0,15,150,16,0.10666666666666667,148,149,1,0.10810810810810811,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,0,30,150,28,0.18666666666666668,147,149,1,0.19047619047619047,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,0,60,150,46,0.30666666666666664,147,149,1,0.3129251700680272,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,0,240,150,98,0.6533333333333333,145,149,1,0.6758620689655173,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/hyperliquid,20,0,1440,150,130,0.8666666666666667,130,149,1,1.0,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,20,5,1332,1156,0.8678678678678678,1332,1332,0,0.8678678678678678,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,20,15,1332,1273,0.9557057057057057,1332,1332,0,0.9557057057057057,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,20,30,1332,1305,0.9797297297297297,1332,1332,0,0.9797297297297297,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,20,60,1332,1319,0.9902402402402403,1332,1332,0,0.9902402402402403,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,20,240,1332,1329,0.9977477477477478,1332,1332,0,0.9977477477477478,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,20,1440,1332,1332,1.0,1332,1332,0,1.0,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,10,5,1332,360,0.2702702702702703,1331,1332,0,0.270473328324568,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,10,15,1332,618,0.46396396396396394,1331,1332,0,0.46431254695717505,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,10,30,1332,783,0.5878378378378378,1331,1332,0,0.5882794891059354,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,10,60,1332,947,0.710960960960961,1331,1332,0,0.7114951164537942,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,10,240,1332,1202,0.9024024024024024,1331,1332,0,0.9030803906836965,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,10,1440,1332,1330,0.9984984984984985,1331,1332,0,0.9992486851990984,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,0,5,1332,88,0.06606606606606606,1331,1332,0,0.06611570247933884,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,0,15,1332,207,0.1554054054054054,1331,1332,0,0.1555221637866266,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,0,30,1332,333,0.25,1331,1332,0,0.2501878287002254,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,0,60,1332,510,0.38288288288288286,1331,1332,0,0.38317054845980464,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,0,240,1332,873,0.6554054054054054,1320,1332,0,0.6613636363636364,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/okx,20,0,1440,1332,1246,0.9354354354354354,1320,1332,0,0.943939393939394,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,20,5,153,137,0.8954248366013072,153,153,0,0.8954248366013072,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,20,15,153,147,0.9607843137254902,153,153,0,0.9607843137254902,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,20,30,153,151,0.9869281045751634,153,153,0,0.9869281045751634,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,20,60,153,152,0.9934640522875817,153,153,0,0.9934640522875817,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,20,240,153,152,0.9934640522875817,153,153,0,0.9934640522875817,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,20,1440,153,152,0.9934640522875817,153,153,0,0.9934640522875817,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,10,5,153,36,0.23529411764705882,153,153,0,0.23529411764705882,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,10,15,153,51,0.3333333333333333,153,153,0,0.3333333333333333,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,10,30,153,62,0.40522875816993464,153,153,0,0.40522875816993464,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,10,60,153,88,0.5751633986928104,153,153,0,0.5751633986928104,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,10,240,153,120,0.7843137254901961,153,153,0,0.7843137254901961,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,10,1440,153,152,0.9934640522875817,153,153,0,0.9934640522875817,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,0,5,153,10,0.06535947712418301,153,153,0,0.06535947712418301,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,0,15,153,19,0.12418300653594772,153,153,0,0.12418300653594772,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,0,30,153,22,0.1437908496732026,153,153,0,0.1437908496732026,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,0,60,153,29,0.1895424836601307,153,153,0,0.1895424836601307,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,0,240,153,68,0.4444444444444444,153,153,0,0.4444444444444444,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/gate,20,0,1440,153,152,0.9934640522875817,153,153,0,0.9934640522875817,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/hyperliquid,20,20,5,58,43,0.7413793103448276,58,57,1,0.7413793103448276,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/hyperliquid,20,20,15,58,49,0.8448275862068966,58,57,1,0.8448275862068966,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/hyperliquid,20,20,30,58,52,0.896551724137931,58,57,1,0.896551724137931,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/hyperliquid,20,20,60,58,54,0.9310344827586207,58,57,1,0.9310344827586207,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/hyperliquid,20,20,240,58,54,0.9310344827586207,57,57,1,0.9473684210526315,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,bitget/hyperliquid,20,20,1440,58,57,0.9827586206896551,57,57,1,1.0,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
