group_type,group_value,threshold_bps,target_bps,horizon_minutes,event_count_total,hit_count,naive_hit_rate,eligible_event_count,completed_event_count,censored_event_count,observed_rate_complete_cases,rate_note
START_REGIME,POST_GATE_REGIME,20,10,240,1145,1012,0.8838427947598253,1121,1141,4,0.9027653880463872,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,POST_GATE_REGIME,20,10,1440,1145,1108,0.9676855895196507,1108,1141,4,1.0,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,POST_GATE_REGIME,20,0,5,1145,51,0.0445414847161572,1139,1141,4,0.04477611940298507,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,POST_GATE_REGIME,20,0,15,1145,93,0.08122270742358079,1138,1141,4,0.08172231985940245,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,POST_GATE_REGIME,20,0,30,1145,154,0.13449781659388646,1134,1141,4,0.13580246913580246,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,POST_GATE_REGIME,20,0,60,1145,238,0.20786026200873362,1129,1141,4,0.2108060230292294,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,POST_GATE_REGIME,20,0,240,1145,554,0.48384279475982533,1094,1141,4,0.506398537477148,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,POST_GATE_REGIME,20,0,1440,1145,1006,0.8786026200873363,1035,1141,4,0.9719806763285024,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,20,5,3248,2811,0.8654556650246306,3248,3248,0,0.8654556650246306,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,20,15,3248,3103,0.9553571428571429,3248,3248,0,0.9553571428571429,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,20,30,3248,3177,0.9781403940886699,3248,3248,0,0.9781403940886699,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,20,60,3248,3215,0.9898399014778325,3248,3248,0,0.9898399014778325,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,20,240,3248,3238,0.9969211822660099,3248,3248,0,0.9969211822660099,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,20,1440,3248,3247,0.999692118226601,3248,3248,0,0.999692118226601,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
