pair,strategy_direction,entry_threshold_bps,exit_rule,event_count,median_gross_bps,max_drawdown_proxy_bps,positive_event_count_10bps,positive_event_ratio_10bps,median_net_10bps,p05_net_10bps,p95_net_10bps,positive_event_count_20bps,positive_event_ratio_20bps,median_net_20bps,p05_net_20bps,p95_net_20bps,positive_event_count_40bps,positive_event_ratio_40bps,median_net_40bps,p05_net_40bps,p95_net_40bps,positive_event_count_80bps,positive_event_ratio_80bps,median_net_80bps,p05_net_80bps,p95_net_80bps,positive_event_count_120bps,positive_event_ratio_120bps,median_net_120bps,p05_net_120bps,p95_net_120bps
binance/bitget,funding_optimal_trailing_24h,20,hold_1h,1586,0.938063689548736,190.11525274207298,202,0.1273644388398487,-9.061936310451264,-24.97880740347015,6.389481160733232,52,0.03278688524590164,-19.061936310451266,-34.97880740347016,-3.610518839266768,11,0.0069356872635561164,-39.06193631045126,-54.97880740347016,-23.610518839266767,3,0.0018915510718789407,-79.06193631045127,-94.97880740347016,-63.610518839266774,1,0.0006305170239596469,-119.06193631045127,-134.97880740347017,-103.61051883926677
binance/bitget,funding_optimal_trailing_24h,20,hold_24h,1553,-1.730039250281257,260.97847307463394,424,0.2730199613650998,-11.730039250281257,-51.86618668861568,28.316594688060064,278,0.17900837089504185,-21.73003925028126,-61.86618668861568,18.316594688060064,69,0.044430135222150675,-41.73003925028126,-81.86618668861568,-1.6834053119399353,2,0.00128783000643915,-81.73003925028125,-121.86618668861568,-41.683405311939936,0,0.0,-121.73003925028125,-161.8661866886157,-81.68340531193994
binance/bitget,funding_optimal_trailing_24h,20,hold_4h,1584,0.6914246130059514,246.63274511624613,273,0.17234848484848486,-9.308575386994049,-34.68090645065843,10.014374235594422,80,0.050505050505050504,-19.30857538699405,-44.68090645065843,0.014374235594421598,12,0.007575757575757576,-39.30857538699405,-64.68090645065843,-19.98562576440558,2,0.0012626262626262627,-79.30857538699405,-104.68090645065843,-59.98562576440558,1,0.0006313131313131314,-119.30857538699405,-144.68090645065843,-99.98562576440558
binance/bitget,funding_optimal_trailing_24h,20,hold_72h,1439,9.9244737734213,342.7287705039266,717,0.4982626824183461,-0.07552622657870067,-83.50248429915348,55.01474059247945,546,0.37943015983321754,-10.0755262265787,-93.50248429915348,45.01474059247945,237,0.1646977067407922,-30.075526226578702,-113.50248429915348,25.01474059247945,18,0.01250868658790827,-70.0755262265787,-153.50248429915348,-14.98525940752055,4,0.002779708130646282,-110.0755262265787,-193.50248429915348,-54.98525940752055
binance/bitget,funding_optimal_trailing_24h,20,hold_8h,1576,0.5458419136226986,246.63274511624613,333,0.21129441624365483,-9.454158086377301,-36.18441679896695,17.764074302820923,155,0.0983502538071066,-19.4541580863773,-46.18441679896695,7.764074302820923,18,0.011421319796954314,-39.454158086377305,-66.18441679896695,-12.235925697179077,0,0.0,-79.4541580863773,-106.18441679896695,-52.23592569717908,0,0.0,-119.4541580863773,-146.18441679896696,-92.23592569717908
binance/bitget,funding_optimal_trailing_24h,20,next_krx_open,1584,1.5686737587602506,246.63274511624613,335,0.21148989898989898,-8.431326241239748,-40.321369394043764,20.267540205513924,184,0.11616161616161616,-18.43132624123975,-50.321369394043764,10.267540205513924,34,0.021464646464646464,-38.431326241239745,-70.32136939404377,-9.732459794486076,0,0.0,-78.43132624123976,-110.32136939404377,-49.73245979448607,0,0.0,-118.43132624123976,-150.32136939404376,-89.73245979448608
binance/bitget,funding_optimal_trailing_24h,20,stop_100bps,48,-109.2014388532676,159.38167452786004,0,0.0,-119.2014388532676,-162.8661493309328,-106.11669845371287,0,0.0,-129.2014388532676,-172.8661493309328,-116.11669845371287,0,0.0,-149.2014388532676,-192.8661493309328,-136.11669845371287,0,0.0,-189.2014388532676,-232.8661493309328,-176.11669845371287,0,0.0,-229.2014388532676,-272.8661493309328,-216.11669845371287
binance/bitget,funding_optimal_trailing_24h,20,stop_50bps,682,-56.67321243130428,90.55842598040255,0,0.0,-66.67321243130428,-115.38115668496107,-23.1143482165771,0,0.0,-76.67321243130428,-125.38115668496107,-33.1143482165771,0,0.0,-96.67321243130428,-145.38115668496107,-53.1143482165771,0,0.0,-136.67321243130428,-185.38115668496107,-93.1143482165771,0,0.0,-176.67321243130428,-225.38115668496107,-133.1143482165771
binance/bitget,funding_optimal_trailing_24h,20,target_0bps,317,14.892902367933498,124.07419253598249,175,0.5520504731861199,4.892902367933498,-45.07618534227768,72.40301237543825,152,0.4794952681388013,-5.107097632066502,-55.07618534227768,62.40301237543825,73,0.2302839116719243,-25.107097632066502,-75.07618534227768,42.40301237543825,23,0.07255520504731862,-65.1070976320665,-115.07618534227768,2.403012375438248,0,0.0,-105.1070976320665,-155.07618534227768,-37.59698762456175
binance/bitget,funding_optimal_trailing_24h,20,target_10bps,1576,10.95050244786258,190.11525274207298,852,0.5406091370558376,0.9505024478625783,-32.00249487644533,13.34620273123365,135,0.08565989847715735,-9.04949755213742,-42.00249487644534,3.3462027312336486,6,0.0038071065989847717,-29.04949755213742,-62.00249487644534,-16.65379726876635,0,0.0,-69.04949755213742,-102.00249487644534,-56.653797268766354,0,0.0,-109.04949755213742,-142.00249487644533,-96.65379726876635
