timestamp,gate_trade,gate_mark,gate_index,comparison_exchange,comparison_price,spread_bps,gate_volume,gate_raw_source_file,comparison_raw_source_file,warning_flags
2026-07-16 19:44:00+00:00,1210.0,1209.7,1208.92,binance,1189.40275079,169.20700210373516,19352.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/binance/e40f773e70cd122dcd76d790e153b152a6c6c1c93d635d6fcd5388df0803345a.json,
2026-07-16 19:45:00+00:00,1211.3,1211.3,1210.51,binance,1190.86,170.18017117927246,27044.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/binance/e40f773e70cd122dcd76d790e153b152a6c6c1c93d635d6fcd5388df0803345a.json,
2026-07-16 19:46:00+00:00,1210.0,1209.9,1209.22,binance,1189.06178625,173.72693362134643,25872.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/binance/e40f773e70cd122dcd76d790e153b152a6c6c1c93d635d6fcd5388df0803345a.json,
2026-07-16 19:47:00+00:00,1211.6,1211.3,1210.51,binance,1190.66,171.8596479541697,9635.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/binance/e40f773e70cd122dcd76d790e153b152a6c6c1c93d635d6fcd5388df0803345a.json,
2026-07-16 19:48:00+00:00,1213.3,1212.6,1211.78,binance,1191.3,177.21203045051755,33265.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/binance/e40f773e70cd122dcd76d790e153b152a6c6c1c93d635d6fcd5388df0803345a.json,
2026-07-16 19:49:00+00:00,1214.2,1214.0,1213.19,binance,1192.26,180.6953529543774,19836.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/binance/e40f773e70cd122dcd76d790e153b152a6c6c1c93d635d6fcd5388df0803345a.json,
2026-07-16 19:50:00+00:00,1214.0,1214.6,1214.48,binance,1192.88812021,180.3695694922568,21189.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/binance/e40f773e70cd122dcd76d790e153b152a6c6c1c93d635d6fcd5388df0803345a.json,
2026-07-16 19:51:00+00:00,1215.4,1215.2,1214.68,binance,1193.79,177.75084163902784,22602.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/binance/e40f773e70cd122dcd76d790e153b152a6c6c1c93d635d6fcd5388df0803345a.json,
2026-07-19 23:50:00+00:00,1180.1,1179.9,1177.31,binance,1175.73,35.40454146024692,134261.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-19 23:51:00+00:00,1178.9,1178.8,1177.45,binance,1175.90059307,24.62654435585602,224671.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-19 23:52:00+00:00,1177.4,1177.1,1175.49,binance,1174.16318585,24.98073518671826,172997.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-19 23:53:00+00:00,1177.2,1176.9,1175.57,binance,1172.99,33.27815344548112,132900.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
