regime,strategy_direction,event_count,median_combined_pnl_bps,total_funding_pnl_bps,median_holding_minutes,max_mae_bps
GATE_REGIME_20260716_19,funding_optimal_trailing_24h,6930,6.753128613251624,51946.894267837684,883.5,184.8533989996936
GATE_REGIME_20260716_19,price_convergence,6930,15.296466957748537,70981.25635182529,945.5,75.29835593434724
POST_GATE_REGIME,funding_optimal_trailing_24h,13607,0.1804192387964374,-10840.965840022047,470.0,98.1907688668801
POST_GATE_REGIME,price_convergence,13607,8.807108090288203,-14608.756409859134,480.0,75.87172463337518
PRE_GATE_REGIME,funding_optimal_trailing_24h,53823,-1.1640940389035421,440223.2362893326,480.0,563.3983047868604
PRE_GATE_REGIME,price_convergence,53823,5.817840732539038,-503890.46859650506,498.0,334.3728500631424
