rank,base_event_id,pair,event_start,event_end,duration_observed_minutes,status,peak_abs_spread_bps,start_session,start_regime,higher_exchange_at_peak,lower_exchange_at_peak,warning
24,BE-8d6b8add6215dfd84aa6,bitget/okx,2026-07-16 05:10:00+00:00,2026-07-16 19:45:00+00:00,876,COMPLETED,45.06432569070308,KRX_REGULAR_EARLIER,GATE_REGIME_20260716_19,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
25,BE-f7823c5fef9a38f11a29,bitget/okx,2026-06-11 13:54:00+00:00,2026-06-12 04:11:00+00:00,858,COMPLETED,96.4293680616321,US_REGULAR,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
26,BE-6f38df95f5be1a2e295a,bitget/okx,2026-07-16 20:29:00+00:00,2026-07-17 10:04:00+00:00,816,COMPLETED,73.17903335602374,US_AFTER_HOURS,GATE_REGIME_20260716_19,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
27,BE-9ee39f37eae8f48e67b6,bitget/okx,2026-07-21 13:35:00+00:00,2026-07-22 03:10:00+00:00,816,COMPLETED,49.35628698005009,US_REGULAR,POST_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
28,BE-849c5717e8e2fd7a7758,gate/okx,2026-07-19 11:03:00+00:00,2026-07-20 00:18:00+00:00,796,COMPLETED,67.35037501913425,KRX_HOLIDAY_OR_WEEKEND,GATE_REGIME_20260716_19,gate,okx,historical_mark_trade_proxy_not_executable_BBO
29,BE-b04ebbdbedcfaf22970a,binance/bitget,2026-06-11 13:39:00+00:00,2026-06-12 02:01:00+00:00,743,COMPLETED,354.4050070074069,US_REGULAR,PRE_GATE_REGIME,bitget,binance,historical_mark_trade_proxy_not_executable_BBO
30,BE-ca6b431b10a5bd09287d,bitget/okx,2026-07-17 10:19:00+00:00,2026-07-17 22:26:00+00:00,728,COMPLETED,62.7781604596574,US_PREMARKET,GATE_REGIME_20260716_19,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
31,BE-5bb053960b5de81388ef,binance/bitget,2026-06-29 03:00:00+00:00,2026-06-29 14:14:00+00:00,675,COMPLETED,60.022996201260106,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,bitget,binance,historical_mark_trade_proxy_not_executable_BBO
32,BE-5469c797c550c1ba1cde,bitget/okx,2026-06-29 04:15:00+00:00,2026-06-29 14:11:00+00:00,597,COMPLETED,64.07242461852843,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
33,BE-57ff1c7a1b4ef4cd1b6a,binance/okx,2026-06-16 09:55:00+00:00,2026-06-16 19:30:00+00:00,576,COMPLETED,75.93378862802834,US_PREMARKET,PRE_GATE_REGIME,binance,okx,historical_mark_trade_proxy_not_executable_BBO
34,BE-4dea832cbb11ce1989a9,binance/bitget,2026-06-18 13:41:00+00:00,2026-06-18 23:03:00+00:00,563,COMPLETED,69.66022703632493,US_REGULAR,PRE_GATE_REGIME,bitget,binance,historical_mark_trade_proxy_not_executable_BBO
35,BE-571f0fb52d49116c5f7a,binance/bitget,2026-07-12 14:05:00+00:00,2026-07-12 23:00:00+00:00,536,COMPLETED,29.787219736218795,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME,bitget,binance,historical_mark_trade_proxy_not_executable_BBO
36,BE-f861e3c06874a1f1ec0b,binance/bitget,2026-06-11 00:06:00+00:00,2026-06-11 08:52:00+00:00,527,COMPLETED,94.20258770120749,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,bitget,binance,historical_mark_trade_proxy_not_executable_BBO
37,BE-dbd4e3d3a0ce0ec752db,gate/hyperliquid,2026-07-19 16:05:00+00:00,2026-07-20 00:22:00+00:00,498,COMPLETED,100.24007075769585,BOTH_PRIMARY_MARKETS_CLOSED,GATE_REGIME_20260716_19,gate,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
38,BE-7d3b6a0cb9e1e764217e,bitget/okx,2026-07-02 08:24:00+00:00,2026-07-02 16:38:00+00:00,495,COMPLETED,125.60503467392799,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
39,BE-6bb0d4290cb381ae191d,bitget/hyperliquid,2026-07-19 16:05:00+00:00,2026-07-20 00:16:00+00:00,492,COMPLETED,98.95500467687302,BOTH_PRIMARY_MARKETS_CLOSED,GATE_REGIME_20260716_19,bitget,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
40,BE-eab672e504524573d12f,bitget/okx,2026-06-17 12:44:00+00:00,2026-06-17 20:51:00+00:00,488,COMPLETED,58.88577917529609,US_PREMARKET,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
41,BE-b78a129cb0958814d23c,bitget/okx,2026-07-02 16:41:00+00:00,2026-07-03 00:48:00+00:00,488,COMPLETED,72.76061031599933,US_REGULAR,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
42,BE-804be00d3ee3f9650e1a,binance/hyperliquid,2026-07-19 16:05:00+00:00,2026-07-20 00:06:00+00:00,482,COMPLETED,111.94326554994065,BOTH_PRIMARY_MARKETS_CLOSED,GATE_REGIME_20260716_19,binance,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
43,BE-63c3a314fd068e568561,bitget/okx,2026-07-09 08:39:00+00:00,2026-07-09 16:37:00+00:00,479,COMPLETED,87.19803436025346,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
44,BE-aaf3265932e6347b367b,binance/bitget,2026-07-13 10:44:00+00:00,2026-07-13 18:32:00+00:00,469,COMPLETED,77.4676190099394,US_PREMARKET,PRE_GATE_REGIME,bitget,binance,historical_mark_trade_proxy_not_executable_BBO
45,BE-f0b726ce5712c6f23dc6,gate/hyperliquid,2026-07-22 05:43:00+00:00,2026-07-22 13:31:00+00:00,469,COMPLETED,65.66946369937905,KRX_REGULAR_EARLIER,POST_GATE_REGIME,gate,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
46,BE-561a9c4a4e8eb72d8542,bitget/okx,2026-06-18 08:19:00+00:00,2026-06-18 16:06:00+00:00,468,COMPLETED,70.85117150633992,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
47,BE-48a6d514bb4145532070,bitget/okx,2026-07-08 08:49:00+00:00,2026-07-08 16:29:00+00:00,461,COMPLETED,79.20401375500317,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
48,BE-1432181d2e1a089777b5,bitget/hyperliquid,2026-07-20 06:07:00+00:00,2026-07-20 13:45:00+00:00,459,COMPLETED,48.894213645047145,PRE_CLOSE_BASELINE,POST_GATE_REGIME,bitget,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
49,BE-593f7b9a56b673579967,bitget/okx,2026-07-07 15:14:00+00:00,2026-07-07 22:38:00+00:00,445,COMPLETED,52.97547903541955,US_REGULAR,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
50,BE-e14535f654e9452ebd34,bitget/okx,2026-07-08 16:41:00+00:00,2026-07-08 23:49:00+00:00,429,COMPLETED,53.139881309503814,US_REGULAR,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
