pair,exchange_A,exchange_B,session,coverage_percent,comparison_quality,count,mean_bps,median_bps,std_bps,min_bps,max_bps,p01_bps,p05_bps,p25_bps,p75_bps,p95_bps,p99_bps,mean_abs_bps,p95_abs_bps,p99_abs_bps,max_abs_bps,percent_A_higher,percent_B_higher
binance/hyperliquid,binance,hyperliquid,KRX_OFFICIAL_AFTER_HOURS,10.455563853622106,historical_proxy_spread_bps,560,26.855222100504104,27.29062933866154,7.821212863271949,3.89099719408083,54.121485462049186,7.539950396633851,12.591398625386892,21.75095990221913,32.15673841022632,39.496593860605834,43.88311551344622,26.855222100504104,39.496593860605834,43.88311551344622,54.121485462049186,100.0,0.0
binance/hyperliquid,binance,hyperliquid,KRX_FULLY_CLOSED,59.67139656460045,historical_proxy_spread_bps,3196,23.543891429053318,21.81841991989692,15.068941945130625,-23.6318001771995,111.94326554994065,-6.148926671180597,1.0289608615485342,12.924998660213268,33.261515328299005,49.66605538628932,59.8693704001554,23.893188363936222,49.66605538628932,59.8693704001554,111.94326554994065,95.8072590738423,4.16145181476846
binance/okx,binance,okx,ALL,100.0,mark_spread_bps,61995,13.24063946798164,11.123297715996674,20.807764947196777,-331.89687645852933,246.1620959648114,-22.995947469420106,-10.422229610404832,3.20438217012853,19.22511978928203,46.95831617536525,88.32011718708216,16.530045929312823,48.15573883429213,91.80217202775667,331.89687645852933,82.0421001693685,17.87079603193806
binance/okx,binance,okx,PRE_CLOSE_BASELINE,2.064682635696427,mark_spread_bps,1280,3.8694349918958224,1.9415368950468639,19.43501532777123,-52.6704685398158,89.47758648196226,-33.268839666191504,-22.529366780641144,-7.062450800860823,10.04777554881894,49.88032385742272,66.16281868717435,13.352306049478369,50.11150557303622,66.16281868717435,89.47758648196226,56.71874999999999,42.890625
binance/okx,binance,okx,AFTER_CLOSE_ALL,52.56069037825631,mark_spread_bps,32585,16.425555729465792,13.290009677407241,23.17916901409493,-331.89687645852933,246.1620959648114,-23.50708266010196,-8.846649171326778,4.474405639484762,24.34274252842534,59.115174600119296,92.34978329854076,19.623634658374122,60.07799544749144,96.47800495721707,331.89687645852933,84.49286481509897,15.424274973147153
binance/okx,binance,okx,KRX_OFFICIAL_AFTER_HOURS,7.040890394386644,mark_spread_bps,4365,7.203528470988985,4.847828711184403,20.670920038252316,-56.99857170358897,131.31692775067546,-30.538591944862084,-19.529245051598274,-4.065809745286252,13.136958192816646,40.05498015605832,93.12139357264468,14.089904067384456,42.76581030941324,93.12139357264468,131.31692775067546,64.37571592210767,35.4639175257732
binance/okx,binance,okx,KRX_FULLY_CLOSED,45.00362932494556,mark_spread_bps,27900,18.032426526904683,14.612378021446602,23.201478680435567,-331.89687645852933,246.1620959648114,-17.596602225724993,-6.169981089015951,6.30180841129066,25.710915489433653,59.821307309952836,92.33738310133646,20.56229287254229,61.112862857377074,97.83996759263084,331.89687645852933,88.0215053763441,11.917562724014337
binance/okx,binance,okx,KRX_HOLIDAY_OR_WEEKEND,27.873215581901768,mark_spread_bps,17280,11.338042791586904,11.370023813239266,8.592128737284574,-28.904094835408234,60.969214268555454,-9.248248623739784,-3.7828600002876445,6.273546081934869,16.511536623120385,25.573877637376818,32.04630810621149,12.23217316159538,25.580319481862404,32.04630810621149,60.969214268555454,90.46875,9.47337962962963
bitget/gate,bitget,gate,ALL,100.0,mark_spread_bps,9526,-15.47360663626952,0.0,43.4160322275122,-189.13239267487296,45.62420568578678,-176.1854732445194,-106.0181626391881,-16.890927850311787,8.957957596414268,17.941325289196627,23.294486209833124,24.99956536825378,106.0181626391881,176.1854732445194,189.13239267487296,49.83203863111484,49.92651690111274
bitget/gate,bitget,gate,PRE_CLOSE_BASELINE,2.099517111064455,mark_spread_bps,200,-17.190953373030293,0.982566841395881,40.75228217788305,-108.27532869296273,22.606372467650754,-107.74954933192645,-101.22916620832109,-8.544746103063574,7.02943622358498,13.72185681001311,19.2566511038146,24.837538543643237,101.22916620832109,107.74954933192645,108.27532869296273,53.0,47.0
bitget/gate,bitget,gate,AFTER_CLOSE_ALL,49.29666176779341,mark_spread_bps,4696,-15.309082319157923,6.023995758805063,52.75118249965892,-189.13239267487296,40.22887495850248,-179.05948850718988,-170.09187982438664,-8.754002182925753,12.87135818151988,20.502210064090967,24.65379884624611,29.751662109255204,170.09187982438664,179.0594885071899,189.13239267487296,65.22572402044293,34.518739352640544
bitget/gate,bitget,gate,KRX_OFFICIAL_AFTER_HOURS,7.348309888725593,mark_spread_bps,700,-13.710201594581914,4.780391320298683,39.04984706274045,-109.5836081545382,20.52522295324487,-101.15455725993895,-95.7995746122577,-2.761245125772215,8.63590173228469,12.2808451458578,14.736525468276959,23.324987629506825,95.7995746122577,101.15455725993894,109.5836081545382,64.85714285714286,34.42857142857143
bitget/gate,bitget,gate,KRX_FULLY_CLOSED,41.423472601301704,mark_spread_bps,3946,-15.585815604741926,6.679999882304196,54.94771697690556,-189.13239267487296,40.22887495850248,-179.58653770630755,-172.27611310247295,-9.118116360745066,13.790943118817482,20.955901418687173,25.111997227436518,30.96361969581061,172.27611310247295,179.58653770630758,189.13239267487296,65.33198175367461,34.490623416117586
bitget/gate,bitget,gate,KRX_HOLIDAY_OR_WEEKEND,30.233046399328156,mark_spread_bps,2880,-14.112489355875637,-9.474592996224056,18.512581866779044,-97.46037553844386,23.938116163304933,-77.66822582343502,-60.57220961230122,-19.784597825313124,-1.0102847426232295,4.0246963346949105,7.004925015908985,15.24282589752855,60.57220961230118,77.66822582343504,97.46037553844386,20.45138888888889,79.20138888888889
bitget/hyperliquid,bitget,hyperliquid,ALL,100.0,historical_proxy_spread_bps,5355,36.35207999669995,35.85549345819407,12.747306664599233,-15.584025187580243,98.95500467687302,8.738200057871856,16.761961749546156,27.1427400034119,44.91823507773748,57.471675654566724,66.58390128553721,36.3618679677722,57.471675654566724,66.58390128553721,98.95500467687302,99.90662931839402,0.09337068160597572
bitget/hyperliquid,bitget,hyperliquid,PRE_CLOSE_BASELINE,2.987861811391223,historical_proxy_spread_bps,160,29.881753127999946,30.778559802540123,10.13540447843876,-15.584025187580243,47.303041658103695,9.283955016679155,15.57224451885725,21.465940623095015,38.910210738298105,44.359038583092506,45.68012707380108,30.076553442844705,44.359038583092506,45.68012707380108,47.303041658103695,99.375,0.625
