pair,long_exchange,short_exchange,funding_time,long_rate,short_rate,net_rate,net_cashflow_10000,cumulative_cashflow,long_interval_hours,short_interval_hours,session,regime,date,week
long okx / short bitget,okx,bitget,2026-06-23 08:00:00+00:00,0.0048822453571552,0.001,-0.0038822453571552,-38.822453571551996,-432.90242144755,8.0,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-23 00:00:00+00:00,2026-06-22/2026-06-28
long binance / short okx,binance,okx,2026-07-08 08:00:00.001000+00:00,0.00386943,0.0,-0.00386943,-38.6943,404.7357223852261,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-08 00:00:00+00:00,2026-07-06/2026-07-12
long okx / short binance,okx,binance,2026-07-08 08:00:00.001000+00:00,0.0,0.00386943,0.00386943,38.6943,-404.7357223852261,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-08 00:00:00+00:00,2026-07-06/2026-07-12
long binance / short bitget,binance,bitget,2026-07-08 08:00:00.001000+00:00,0.00386943,0.0,-0.00386943,-38.6943,-44.0611,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-08 00:00:00+00:00,2026-07-06/2026-07-12
long bitget / short binance,bitget,binance,2026-07-08 08:00:00.001000+00:00,0.0,0.00386943,0.00386943,38.6943,44.0611,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-08 00:00:00+00:00,2026-07-06/2026-07-12
long binance / short okx,binance,okx,2026-07-08 08:00:00+00:00,0.0,0.0038486519117764,0.0038486519117764,38.486519117764,443.4300223852261,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-08 00:00:00+00:00,2026-07-06/2026-07-12
long okx / short binance,okx,binance,2026-07-08 08:00:00+00:00,0.0038486519117764,0.0,-0.0038486519117764,-38.486519117764,-443.4300223852261,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-08 00:00:00+00:00,2026-07-06/2026-07-12
long okx / short bitget,okx,bitget,2026-06-25 08:00:00+00:00,0.0,0.003784,0.003784,37.84,-420.372038348504,8.0,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-25 00:00:00+00:00,2026-06-22/2026-06-28
long bitget / short okx,bitget,okx,2026-06-25 08:00:00+00:00,0.003784,0.0,-0.003784,-37.84,420.372038348504,8.0,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-25 00:00:00+00:00,2026-06-22/2026-06-28
long bitget / short okx,bitget,okx,2026-06-12 00:00:00+00:00,0.0,0.0034807225215341,0.0034807225215341,34.807225215341,60.63489791867799,8.0,8.0,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-06-12 00:00:00+00:00,2026-06-08/2026-06-14
long okx / short bitget,okx,bitget,2026-06-12 00:00:00+00:00,0.0034807225215341,0.0,-0.0034807225215341,-34.807225215341,-60.63489791867799,8.0,8.0,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-06-12 00:00:00+00:00,2026-06-08/2026-06-14
long okx / short binance,okx,binance,2026-06-12 00:00:00+00:00,0.0034807225215341,0.0,-0.0034807225215341,-34.807225215341,-17.63415711038599,8.0,,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-06-12 00:00:00+00:00,2026-06-08/2026-06-14
long binance / short okx,binance,okx,2026-06-12 00:00:00+00:00,0.0,0.0034807225215341,0.0034807225215341,34.807225215341,17.63415711038599,,8.0,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-06-12 00:00:00+00:00,2026-06-08/2026-06-14
long gate / short bitget,gate,bitget,2026-07-17 04:00:00+00:00,0.0,-0.002897,-0.002897,-28.97,-29.97,,4.0,KRX_REGULAR_EARLIER,GATE_REGIME_20260716_19,2026-07-17 00:00:00+00:00,2026-07-13/2026-07-19
long bitget / short gate,bitget,gate,2026-07-17 04:00:00+00:00,-0.002897,0.0,0.002897,28.97,29.97,4.0,,KRX_REGULAR_EARLIER,GATE_REGIME_20260716_19,2026-07-17 00:00:00+00:00,2026-07-13/2026-07-19
long bitget / short okx,bitget,okx,2026-07-17 04:00:00+00:00,-0.002897,0.0,0.002897,28.97,573.410844100645,4.0,,KRX_REGULAR_EARLIER,GATE_REGIME_20260716_19,2026-07-17 00:00:00+00:00,2026-07-13/2026-07-19
long okx / short bitget,okx,bitget,2026-07-17 04:00:00+00:00,0.0,-0.002897,-0.002897,-28.97,-573.410844100645,,4.0,KRX_REGULAR_EARLIER,GATE_REGIME_20260716_19,2026-07-17 00:00:00+00:00,2026-07-13/2026-07-19
long bitget / short okx,bitget,okx,2026-07-13 12:00:00+00:00,0.0,0.002816412986938,0.002816412986938,28.164129869379998,567.02863466455,,4.0,US_PREMARKET,PRE_GATE_REGIME,2026-07-13 00:00:00+00:00,2026-07-13/2026-07-19
