exchange_set,common_start,common_end,pair,valid_common_minutes,mean_bps,median_bps,std_bps,p05_bps,p25_bps,p75_bps,p95_bps,p99_bps,mean_abs_bps,p95_abs_bps,p99_abs_bps,max_abs_bps
binance|bitget|gate|hyperliquid|okx,2026-07-19 16:05:00+00:00,2026-07-23 07:04:00+00:00,binance/bitget,5219,-14.478987424142739,-14.134822341748587,6.078261529173812,-24.669706598111144,-18.13099455727623,-10.45621612818678,-5.593750101549105,-2.2353846941243627,14.568382861654564,24.673598799883163,28.89811263261251,55.584031488641585
binance|bitget|gate|hyperliquid|okx,2026-07-19 16:05:00+00:00,2026-07-23 07:04:00+00:00,binance/gate,5219,-8.176816263652364,-7.487916901282174,7.920470338522745,-22.043662858810798,-12.81337975366259,-2.56978949096327,3.316193909458427,8.41510296909458,9.0541471418147,22.07671022199861,28.856687952794392,56.53001905671308
binance|bitget|gate|hyperliquid|okx,2026-07-19 16:05:00+00:00,2026-07-23 07:04:00+00:00,binance/hyperliquid,5219,21.85945402543771,20.39380597427973,13.432839707710267,2.3149176490741907,12.34760268016111,30.16075952558989,46.12072815577367,56.48476099470014,22.10337034954722,46.12072815577367,56.48476099470014,111.94326554994065
binance|bitget|gate|hyperliquid|okx,2026-07-19 16:05:00+00:00,2026-07-23 07:04:00+00:00,binance/okx,5219,9.172465440373678,10.284232334221764,8.454649288539777,-6.1894622020990555,3.7800833644172576,15.005629417097335,20.6718751231787,27.867444227575206,10.676887699121687,20.70631378036834,27.867444227575206,59.929411679981285
binance|bitget|gate|hyperliquid|okx,2026-07-19 16:05:00+00:00,2026-07-23 07:04:00+00:00,bitget/gate,5219,6.302171853926291,7.857034049820156,9.910731016852102,-11.680998207403224,0.7589923611935914,13.29704601905075,20.289968578291155,24.583306198395288,10.021801276852937,20.741699532948672,25.21908564741291,47.728713994860215
binance|bitget|gate|hyperliquid|okx,2026-07-19 16:05:00+00:00,2026-07-23 07:04:00+00:00,bitget/hyperliquid,5219,36.33840958965731,35.78628624171001,12.884285138919125,16.636882111794545,26.869171315303458,45.07037310614963,57.65151381125298,66.63255960639667,36.348452621865,57.65151381125298,66.63255960639667,98.95500467687302
binance|bitget|gate|hyperliquid|okx,2026-07-19 16:05:00+00:00,2026-07-23 07:04:00+00:00,bitget/okx,5219,23.651443047968193,23.998481108789477,9.103888904067082,8.02115227960878,17.946476953984273,29.39223933319207,38.94623531825209,44.4152432720327,23.702839749657873,38.94623531825209,44.4152432720327,67.58817768787485
binance|bitget|gate|hyperliquid|okx,2026-07-19 16:05:00+00:00,2026-07-23 07:04:00+00:00,gate/hyperliquid,5219,30.036246966509264,27.234860621594546,15.639021479846603,10.005388715409943,20.32243957695429,35.86037290536283,66.46363047316622,80.6568897064464,30.047592817471966,66.46363047316622,80.6568897064464,100.24007075769585
binance|bitget|gate|hyperliquid|okx,2026-07-19 16:05:00+00:00,2026-07-23 07:04:00+00:00,gate/okx,5219,17.349275473103617,15.934810764683078,10.819336363696967,2.517287806366615,10.64938694387122,21.787874426530657,39.22028728022255,49.33751352776989,17.58422038188532,39.22028728022255,49.33751352776989,67.35037501913425
binance|bitget|gate|hyperliquid|okx,2026-07-19 16:05:00+00:00,2026-07-23 07:04:00+00:00,hyperliquid/okx,5219,-12.687000688614049,-11.748456030609635,10.43661853464224,-30.276544804206864,-20.082030132307267,-4.959800930092612,2.6698936386096714,8.50540432487548,13.437333027898886,30.276544804206857,38.22988919875958,53.25349399364387
